S.No.,Company,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,ROCE %,ROE %,5Yrs return %,ROE 5Yr %,Profit Var 5Yrs %,CMP / BV,EPS 12M Rs.,PB X PE,Free Cash Flow 5Yrs Rs.Cr.,Sales Var 5Yrs %,Debt / Eq
354.,Tube Investments,2525.00,77.95,48855.45,0.14,17.14,9.95,11.61,18.69,16.96,6.30,31.34,491.09,1206.44,30.30,0.10
355.,Aditya Vision,611.20,56.49,7916.04,0.20,17.08,18.71,45.73,24.52,42.22,11.47,10.77,647.94,-76.67,29.00,0.83
356.,Indian Hotels Co,715.40,52.45,101938.76,0.45,17.06,14.24,36.60,11.68,31.59,7.80,15.08,409.11,5456.49,43.81,0.22
357.,Gravita India,1651.60,31.13,12198.99,0.39,17.02,16.76,51.04,24.27,46.04,4.97,53.10,154.72,106.61,24.78,0.30
358.,Chalet Hotels,845.15,34.61,18527.30,0.24,17.01,19.03,35.52,10.88,46.46,5.01,24.13,173.40,1305.47,57.52,0.64
359.,Rashi Peripheral,797.35,16.60,5295.83,0.25,17.00,14.73,,15.95,16.32,2.59,48.41,42.99,-763.62,21.71,0.49
360.,Ipca Labs.,1932.00,35.67,48990.78,0.31,16.98,15.70,8.49,12.77,0.78,6.08,51.63,216.87,2307.24,12.21,0.10
361.,EID Parry,704.10,15.45,12543.78,0.00,16.96,7.85,9.60,12.00,6.51,1.43,26.13,22.09,3853.95,15.74,0.40
362.,Honeywell Auto,33427.10,52.93,29606.02,0.33,16.95,12.59,-4.76,13.60,3.07,6.63,623.31,350.93,1906.86,9.00,0.02
363.,Bliss GVS Pharma,686.35,52.92,7282.85,0.22,16.93,11.75,43.62,8.68,13.98,6.08,12.87,321.75,196.30,9.94,0.02
364.,Sarda Energy,500.75,15.70,17625.31,0.40,16.87,15.08,47.14,16.94,22.44,2.40,32.06,37.68,3402.40,20.95,0.36
365.,Affle 3i,1536.40,45.30,21641.79,0.00,16.84,13.79,9.53,15.78,27.54,5.92,33.95,268.18,1005.59,39.29,0.00
366.,Firstsour.Solu.,283.95,25.14,20067.95,1.94,16.80,17.63,6.96,16.24,10.36,4.58,9.49,115.14,3492.33,13.48,0.67
367.,NCC,137.30,11.93,8616.67,1.60,16.80,9.19,10.62,9.69,21.95,1.10,11.14,13.12,2310.38,21.24,0.44
368.,Syrma SGS Tech.,1507.70,78.31,29084.95,0.10,16.78,13.96,,10.71,36.26,10.16,19.10,795.63,-619.09,40.32,0.14
369.,Welspun Enterp,734.50,28.82,10211.30,0.41,16.74,13.62,50.15,12.24,24.13,3.34,22.08,96.26,-570.34,18.77,0.65
370.,Dodla Dairy,1080.30,26.55,6566.88,0.46,16.72,16.45,15.20,16.66,14.91,3.89,40.57,103.28,598.90,16.24,0.03
371.,Star Cement,184.93,19.75,7466.48,1.08,16.65,13.21,11.40,10.62,10.25,2.34,9.15,46.22,-538.69,17.03,0.19
372.,Alkyl Amines,1790.70,40.68,9160.71,0.56,16.64,12.27,-15.20,16.23,-9.46,5.97,44.03,242.86,383.52,4.33,0.00
373.,KEC International,406.80,18.04,10827.69,1.35,16.53,11.35,-1.01,9.69,3.57,1.76,20.80,31.75,-318.00,12.38,0.87
374.,Time Technoplast,177.20,17.85,8742.38,0.85,16.52,13.14,37.34,12.15,34.70,2.14,10.13,38.20,599.32,15.23,0.18
375.,Sun TV Network,464.65,11.60,18332.32,2.69,16.41,12.23,-1.58,16.92,0.34,1.45,38.80,16.82,4811.61,6.41,0.01
376.,Lodha Developers,1064.80,25.88,106782.07,0.40,16.41,15.48,15.98,12.63,58.41,4.57,41.30,118.27,8786.50,25.07,0.42
377.,Knowledge Marine,2730.50,53.44,6924.28,0.00,16.37,20.01,163.49,26.22,64.46,11.71,53.45,625.78,-94.90,50.42,0.39
378.,Technocraf.Inds.,3124.40,20.85,7080.40,0.64,16.34,15.30,29.39,17.20,18.95,3.51,149.78,73.18,319.23,16.34,0.41
379.,Novartis India,2189.55,55.25,5401.99,1.14,16.26,11.63,21.18,11.20,34.89,6.61,39.60,365.20,317.74,-1.46,0.00
380.,Man Industries,811.00,29.74,6076.96,0.00,16.21,9.23,48.27,8.90,11.25,2.92,27.24,86.84,394.09,11.37,0.30
381.,Zen Technologies,1638.25,81.40,14789.67,0.06,16.18,10.72,51.68,16.93,128.18,7.83,19.95,637.36,222.37,65.95,0.01
382.,Indiabulls,27.18,13.22,6400.14,0.00,16.17,23.06,-22.88,,36.58,2.05,1.87,27.10,-346.29,37.68,0.15
383.,Lloyds Engineeri,79.71,55.19,12345.18,0.31,16.10,15.10,97.69,,,6.67,1.74,368.12,,,0.06
384.,Vedanta,257.20,9.12,100327.88,13.22,16.08,38.15,18.11,28.35,7.62,2.02,50.32,18.42,104761.00,-2.28,0.66
385.,KRN Heat Exchan,1514.00,102.09,9897.06,0.00,16.06,14.26,,,,16.39,15.33,1673.26,,,0.33
386.,Intellect Design,662.85,25.12,9293.32,0.60,16.03,12.36,0.02,14.33,6.91,2.92,25.28,73.35,1131.35,15.20,0.05
387.,Finolex Cables,1339.60,25.61,20498.55,0.67,16.01,12.33,20.89,13.50,9.12,3.37,52.32,86.31,1174.13,17.96,0.00
388.,Steel Str. Wheel,341.00,23.94,5354.07,0.44,15.92,12.21,13.52,16.54,32.68,3.09,14.23,73.97,594.43,24.26,0.48
389.,CCL Products,1055.25,32.61,14102.93,0.54,15.85,18.04,21.42,17.74,16.37,6.01,32.39,195.99,-30.31,29.11,0.56
390.,Latent View,252.90,26.77,5232.10,0.00,15.85,11.90,,12.53,16.62,2.98,9.45,79.77,543.21,28.22,0.02
391.,GE Shipping Co,1377.50,5.25,19683.60,2.54,15.79,15.93,30.37,17.01,24.39,1.16,262.45,6.09,9807.08,10.15,0.06
392.,Blue Dart Expres,4827.70,35.30,11445.59,0.52,15.77,15.69,-5.65,24.98,17.69,6.45,120.98,227.69,2407.29,13.31,0.64
393.,MRF,126500.00,21.74,53586.89,0.19,15.73,12.51,9.48,9.61,14.10,2.55,5700.97,55.44,2057.00,14.02,0.15
394.,Powerica Ltd,532.75,23.99,6745.01,0.00,15.69,17.38,,14.80,80.16,,24.47,,344.44,27.60,0.29
395.,UTI AMC,911.10,21.96,11727.32,4.39,15.57,10.33,-4.95,14.44,-1.00,2.60,35.90,57.10,1738.76,7.84,0.03
396.,Granules India,875.20,33.35,21678.84,0.20,15.51,13.75,21.25,15.08,1.93,4.26,26.97,142.07,859.33,10.63,0.30
397.,JK Tyre & Indust,346.00,13.86,9966.37,1.16,15.51,15.99,17.53,13.61,24.41,1.64,23.19,22.73,1915.59,12.40,0.81
398.,Cipla,1361.00,30.75,110030.08,0.95,15.49,11.60,7.21,14.46,9.94,3.19,41.73,98.09,11984.35,8.01,0.02
399.,Suprajit Engg.,479.35,34.93,6562.27,0.73,15.49,13.12,8.05,11.24,4.55,4.57,13.62,159.63,562.99,18.44,0.69
400.,FDC,350.35,18.55,5714.09,1.43,15.35,11.23,-0.88,11.62,-1.14,2.29,17.97,42.48,499.62,10.28,0.01
401.,Nephrocare Health Services,734.95,86.70,7379.01,0.00,15.34,8.83,,5.88,161.72,6.61,4.19,573.09,13.45,28.44,0.07
402.,Hatsun Agro,1255.75,76.66,28008.22,0.79,15.19,19.19,-2.16,17.14,7.35,14.39,16.40,1103.14,1787.83,12.40,0.95
403.,Vishal Mega Mart,100.10,52.69,46991.96,0.00,15.18,12.17,,8.71,47.95,6.31,1.91,332.47,3937.16,23.72,0.27
404.,KRBL,395.90,11.96,9070.37,1.13,15.16,11.73,7.92,12.20,3.00,1.57,33.13,18.78,1974.53,8.84,0.03
405.,Techno Elec.Engg,950.60,21.47,11051.46,0.74,15.16,12.63,27.37,12.56,20.23,2.63,44.26,56.47,173.58,29.77,0.01
406.,MTAR Technologie,6947.00,155.42,21337.17,0.00,15.15,12.55,37.15,11.43,16.22,25.88,43.76,4022.27,-186.41,28.88,0.46
407.,Senores Pharma.,1416.10,51.60,6520.98,0.00,15.13,13.42,,13.79,,6.99,27.44,360.68,-552.97,,0.37
408.,Gland Pharma,2895.50,41.68,47759.56,0.69,15.11,10.68,-6.46,11.04,0.89,4.61,68.49,192.14,2067.80,13.18,0.03
409.,Sona BLW Precis.,790.00,63.34,49246.77,0.43,15.11,11.67,6.18,15.40,23.67,8.41,12.00,532.69,1142.69,24.12,0.06
410.,J K Cements,4705.00,37.24,36370.49,0.42,15.10,15.61,6.49,14.54,6.72,5.16,122.37,192.16,-217.94,15.74,0.88
411.,Adani Total Gas,580.15,104.99,63805.48,0.04,15.09,14.06,-16.56,17.99,5.60,13.23,5.53,1389.02,88.63,28.16,0.47
