S.No.,Company,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,ROCE %,ROE %,5Yrs return %,ROE 5Yr %,Profit Var 5Yrs %,CMP / BV,EPS 12M Rs.,PB X PE,Free Cash Flow 5Yrs Rs.Cr.,Sales Var 5Yrs %,Debt / Eq
245.,Campus Activewe.,212.90,42.24,6506.71,0.70,21.22,18.00,,19.56,41.04,7.18,5.04,303.28,486.84,20.06,0.26
246.,Elantas Beck,13300.00,59.34,10537.75,0.06,21.21,15.73,29.07,16.74,19.08,9.55,223.99,566.70,259.28,17.22,0.00
247.,Grindwell Norton,1827.40,46.43,20254.46,1.04,21.18,16.17,4.61,17.98,11.76,7.99,39.41,370.98,1127.92,13.41,0.02
248.,Birlasoft Ltd,286.50,13.43,8012.46,2.27,21.15,14.06,-7.50,16.63,10.73,1.95,20.52,26.19,2404.26,8.35,0.03
249.,Kalyan Jewellers,604.20,42.68,62450.75,0.41,21.15,24.85,52.75,16.60,195.24,9.89,13.90,422.11,3770.63,33.05,0.97
250.,Sri Lotus,213.54,40.94,10520.16,0.23,21.15,16.68,,28.58,,5.46,5.26,223.53,-324.92,,0.07
251.,Zydus Lifesci.,1099.00,22.51,109586.50,0.09,21.14,21.25,14.25,21.01,18.77,4.08,44.93,91.84,9700.70,12.45,0.46
252.,AIA Engineering,3914.60,28.82,36564.21,0.41,21.12,16.99,13.21,16.99,18.64,4.55,135.69,131.13,2722.15,8.93,0.00
253.,IIFL Capital,336.50,18.62,10618.30,0.89,21.07,16.20,29.07,24.45,15.96,3.42,18.29,63.68,-127.64,24.44,0.59
254.,Olectra Greentec,1180.70,54.59,9684.87,0.05,21.05,15.59,24.72,10.89,85.41,7.89,21.62,430.72,-48.93,52.39,0.31
255.,Navin Fluo.Intl.,8239.55,53.17,42292.82,0.18,20.96,19.64,15.35,14.96,21.40,10.62,154.05,564.67,-839.79,22.95,0.32
256.,P N Gadgil Jewe.,611.60,20.07,8998.51,0.00,20.92,23.45,,24.67,273.14,4.23,32.85,84.90,-1809.42,41.37,0.89
257.,Tata Technolog.,759.30,47.40,30847.71,1.10,20.90,16.34,,20.07,20.78,7.86,13.72,372.56,1850.23,18.25,0.24
258.,Elecon Engg.Co,413.35,30.68,9275.57,0.48,20.86,16.43,35.98,19.92,43.68,4.02,10.52,123.33,1390.57,17.77,0.12
259.,SPR Auto Technologies,4275.40,34.02,19841.29,0.23,20.78,21.36,55.26,21.44,45.08,6.49,127.95,220.79,1474.90,22.80,0.68
260.,Supreme Inds.,3292.20,40.47,41787.50,1.09,20.73,15.77,7.46,19.83,-0.89,6.78,81.27,274.39,1871.37,12.04,0.01
261.,Jayaswal Neco,87.75,14.89,8512.94,0.00,20.69,18.05,34.08,17.75,23.24,3.00,5.81,44.67,4400.10,14.02,0.74
262.,Clean Science,820.30,37.40,8711.76,0.73,20.68,15.32,-15.88,23.07,2.96,5.50,21.92,205.70,240.30,13.30,0.00
263.,EIH,283.30,24.40,17710.38,0.53,20.67,14.48,20.92,12.23,31.68,3.36,11.38,81.98,1632.91,42.89,0.05
264.,Godawari Power,237.30,19.49,15972.69,0.42,20.53,15.33,28.50,23.11,5.18,2.74,12.02,53.40,2303.57,6.36,0.08
265.,Sun Pharma.Inds.,1835.00,34.81,439799.92,0.87,20.53,15.95,18.63,16.09,16.75,5.27,50.41,183.45,41319.33,11.78,0.06
266.,Vijaya Diagnost.,1443.70,79.29,14866.81,0.14,20.53,18.34,17.52,19.07,13.83,15.52,18.24,1230.58,398.32,16.66,0.44
267.,Kirl. Brothers,1745.00,34.21,13849.09,0.41,20.35,17.30,36.31,17.98,19.79,5.62,47.02,192.26,1019.08,10.81,0.10
268.,GNG Electronics,671.45,53.48,7617.75,0.00,20.30,26.83,,31.10,77.51,10.10,12.49,540.15,-167.98,40.59,0.57
269.,Astra Microwave,1601.50,80.56,15229.46,0.15,20.28,15.99,54.46,13.41,46.22,11.57,19.91,932.08,-66.01,12.65,0.22
270.,Dabur India,385.00,34.38,68206.64,2.14,20.28,17.00,-9.68,18.89,2.21,5.98,11.12,205.59,7515.79,6.65,0.11
271.,Metro Brands,944.45,63.36,25753.24,0.64,20.12,22.08,,22.08,43.73,12.91,14.92,817.98,1887.26,29.05,0.79
272.,KEI Industries,4500.00,43.23,43095.57,0.10,20.05,14.73,40.04,17.04,27.39,6.45,104.27,278.83,-342.93,22.95,0.04
273.,Pearl Global Ind,1137.05,33.43,10477.29,0.64,19.93,21.00,69.64,20.76,101.45,7.19,33.64,240.36,702.98,27.51,0.65
274.,Varun Beverages,409.60,40.94,138628.97,0.37,19.71,16.21,26.90,22.47,50.22,7.08,10.01,289.86,90.62,27.44,0.13
275.,Uno Minda,1161.50,54.83,67028.19,0.23,19.65,19.33,25.92,17.52,42.82,9.82,20.83,538.43,-749.72,25.26,0.40
276.,Sai Life,1541.50,89.02,32736.43,0.00,19.65,15.42,,9.40,42.23,13.14,17.12,1169.72,-9.62,23.61,0.12
277.,L G Balakrishnan,1707.00,17.03,5445.30,1.29,19.63,15.52,32.41,17.46,20.63,2.53,99.96,43.09,530.77,13.84,0.11
278.,K P R Mill Ltd,1121.00,41.99,38306.99,0.45,19.58,15.71,20.81,19.87,10.40,6.72,26.69,282.17,2014.91,13.52,0.10
279.,Indus Towers,379.00,13.99,100076.64,3.69,19.48,18.61,7.07,23.29,13.19,2.52,27.12,35.25,35297.80,18.42,0.53
280.,Usha Martin,482.75,27.01,14721.83,0.78,19.47,15.10,46.99,16.95,25.13,4.45,16.64,120.19,1102.92,11.97,0.07
281.,Park Medi World,279.15,43.45,12065.99,0.00,19.46,16.79,,24.08,10.77,5.96,6.64,258.96,747.90,17.00,0.18
282.,Transport Corp.,840.00,14.12,6445.55,1.19,19.45,19.22,14.58,19.97,23.66,2.51,59.49,35.44,604.42,11.90,0.12
283.,Avalon Tech,2160.70,107.98,14426.78,0.00,19.29,16.53,,13.47,39.23,19.99,20.01,2158.52,-78.54,18.35,0.30
284.,Jindal Stain.,723.10,18.13,59684.83,0.55,19.28,17.73,34.05,21.10,55.41,3.01,39.41,54.57,8529.71,28.65,0.38
285.,Safari Inds.,1531.85,45.50,7510.51,0.26,19.27,15.94,29.60,19.79,58.65,6.73,33.69,306.22,99.20,44.23,0.10
286.,Cera Sanitary.,5577.00,34.96,7214.20,1.35,19.25,14.83,4.84,17.56,15.78,4.88,157.37,170.60,655.35,11.27,0.03
287.,Astral,1381.85,62.72,37157.64,0.29,19.22,13.85,-2.87,16.78,5.80,9.14,21.43,573.26,1469.60,15.64,0.06
288.,Honasa Consumer,457.25,59.07,14913.79,0.66,19.22,15.71,,,16.57,10.54,7.64,622.60,418.86,39.06,0.10
289.,Godrej Agrovet,645.30,26.47,12418.14,1.70,19.16,20.89,-0.37,16.63,8.00,6.11,23.23,161.73,2312.66,10.30,0.77
290.,CEAT,3276.15,20.81,13244.18,1.07,19.15,16.14,19.62,11.58,10.16,2.62,145.79,54.52,1631.73,15.55,0.65
291.,ZF Commercial,2512.90,58.17,28590.33,0.16,19.08,14.36,15.53,13.40,40.53,7.77,42.67,451.98,936.17,16.83,0.01
292.,Crompton Gr. Con,226.15,32.08,14562.13,1.33,18.98,10.33,-14.34,16.69,-9.76,4.58,-3.54,146.93,2846.76,8.65,0.06
293.,Varroc Engineer,836.00,44.77,12780.27,0.18,18.98,15.13,22.46,-12.52,19.00,7.17,12.91,321.00,879.07,15.24,0.52
294.,Aeroflex,507.60,100.07,6719.49,0.08,18.92,14.07,,19.25,50.35,15.02,5.13,1503.05,-60.55,25.06,0.02
295.,Maruti Suzuki,12265.00,26.88,385304.03,1.14,18.87,14.26,12.03,13.63,26.73,3.60,455.91,96.77,23376.50,21.10,0.00
296.,Kusumgar,552.35,46.16,5806.86,0.00,18.84,18.57,,27.10,36.73,,8.68,,-77.14,28.55,0.49
297.,Wheels India,2123.40,31.73,5187.07,0.68,18.83,15.79,21.72,11.22,143.24,4.98,66.90,158.02,697.74,17.76,0.74
298.,Indegene,571.50,33.09,13775.99,0.39,18.82,14.41,,21.36,23.02,4.39,16.66,145.27,1899.13,29.44,0.05
299.,Marksans Pharma,316.05,27.81,14370.23,0.29,18.80,15.17,34.51,16.54,12.04,4.74,11.40,131.82,623.11,16.48,0.11
300.,Supreme Petroch.,788.45,30.26,14832.46,1.33,18.79,14.11,17.75,22.97,-7.40,6.25,25.67,189.13,852.29,10.88,0.05
301.,Ganesh Housing,742.95,23.39,6203.37,0.20,18.78,16.03,33.47,25.17,38.00,2.93,31.80,68.53,749.06,24.87,0.25
302.,Godrej Consumer,860.20,42.42,88065.42,2.32,18.75,16.08,-4.95,14.34,2.58,6.96,18.70,295.24,9368.98,6.60,0.35
303.,I O C L,132.20,5.54,186489.53,6.24,18.66,20.48,10.85,15.98,13.95,0.85,23.83,4.71,82426.37,16.60,0.60
304.,NESCO,1089.50,18.42,7672.79,0.64,18.54,14.84,12.68,15.39,19.33,2.56,59.12,47.16,201.34,26.21,0.09
305.,Gujarat Energy,243.56,11.68,22845.88,3.65,18.49,15.76,-16.27,17.88,10.76,0.91,23.69,10.63,5204.88,19.07,0.18
306.,Molbio Diagnosti,1356.80,62.48,15598.89,0.00,18.48,15.64,,,,,14.77,,,,0.38
307.,Redington,379.40,16.49,29664.29,1.58,18.39,16.86,21.16,17.51,15.87,2.92,21.76,48.15,-1233.70,15.91,0.28
308.,V-Guard Industri,321.70,36.99,14057.73,0.47,18.38,14.39,4.77,14.90,9.86,5.93,8.35,219.35,1063.21,17.00,0.07
309.,Allied Blenders,631.60,79.28,17684.67,0.85,18.38,14.29,,11.36,146.84,10.63,7.90,842.75,-314.21,10.81,0.69
310.,Indian Metals,1218.65,12.54,6575.64,1.02,18.37,16.77,27.48,18.76,21.73,2.42,97.18,30.35,492.07,8.91,0.35
311.,TBO Tek,1656.10,66.89,17993.94,0.00,18.33,17.37,,25.78,90.23,11.60,24.38,775.92,751.21,79.97,0.49
312.,Strides Pharma,1149.00,18.24,10566.54,0.43,18.32,19.99,31.75,30.80,20.07,3.41,66.56,62.20,1098.57,7.94,0.57
313.,Fineotex Chem,53.90,51.27,6272.32,0.24,18.30,13.48,31.64,20.57,20.62,7.11,1.06,364.53,80.02,28.72,0.01
314.,Kalpataru Proj.,1384.00,21.28,23645.62,0.80,18.28,13.70,26.99,10.78,13.35,3.04,66.55,64.69,2155.16,15.95,0.46
315.,AWL Agri Busine.,183.14,20.25,23785.60,0.55,18.28,10.67,,9.50,7.77,2.28,8.89,46.17,4305.78,15.04,0.11
316.,Timken India,3144.60,57.84,23667.97,0.08,18.26,13.69,13.16,17.57,22.70,7.95,54.41,459.83,467.61,19.37,0.00
317.,Linde India,6084.90,94.62,51927.47,0.07,18.23,13.74,17.66,13.82,30.00,12.28,64.35,1161.93,-107.99,11.46,0.02
318.,IFB Industries,1275.00,33.08,5168.89,0.00,18.22,14.47,1.80,7.41,16.60,5.20,36.04,172.02,486.63,14.79,0.15
319.,Marine Electric.,376.75,81.10,5272.41,0.08,18.22,13.22,58.34,11.23,35.83,10.70,4.60,867.77,-27.30,28.40,0.18
320.,Gallantt Ispat L,532.00,29.41,12820.90,0.37,18.16,15.63,48.86,12.23,42.67,3.87,18.06,113.82,681.74,34.42,0.17
321.,Guj. Themis Bio.,428.45,114.37,5567.12,0.16,18.10,17.41,45.59,29.08,9.12,16.22,4.47,1855.08,-117.11,12.86,0.56
322.,Garware Hi Tech,6568.00,39.30,15243.51,0.18,18.08,13.46,45.93,11.79,22.03,5.75,166.95,225.98,760.77,16.47,0.00
323.,Happy Forgings,2074.30,59.85,19593.70,0.19,18.03,15.03,,17.52,28.18,9.20,34.70,550.62,-84.80,21.46,0.15
324.,Piccadily Agro,587.15,41.16,5782.86,0.17,18.01,17.39,94.85,18.93,50.27,6.43,14.26,264.66,-302.25,15.43,0.59
325.,Choice Intl.,737.30,72.14,16445.87,0.00,17.96,16.13,90.77,17.78,67.05,9.83,10.44,709.14,-946.13,44.84,0.54
326.,Indigo Paints,1061.90,30.60,5066.17,0.47,17.94,13.42,-16.24,15.41,16.13,4.28,33.85,130.97,64.69,12.96,0.02
327.,Ratnamani Metals,2703.70,43.25,18972.70,0.37,17.91,12.63,13.41,16.93,12.14,4.61,61.76,199.38,730.98,14.35,0.08
328.,Wipro,169.85,12.72,168134.89,6.48,17.84,15.46,-12.63,16.35,4.05,2.03,12.79,25.82,66810.30,8.38,0.23
329.,Metropolis Healt,572.50,57.02,11868.62,0.35,17.81,13.63,-6.47,14.84,1.19,7.84,9.73,447.04,1113.46,10.52,0.15
330.,EPL Ltd,235.70,18.37,7548.23,1.06,17.80,15.73,-0.36,13.93,10.38,2.64,12.10,48.50,1167.50,9.03,0.34
